               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 146,            0.026177,            0.010895,           0.0048893,             0.95125,             0.86555,               0.995,             0.80609,            0.021983,           0.0042405,           0.0038607,            0.005215,            0.005215,            0.005215
                 147,            0.026284,             0.01338,            0.006577,             0.95805,             0.84233,             0.98944,             0.80802,            0.021177,           0.0043216,           0.0038165,            0.005182,            0.005182,            0.005182
                 148,            0.025698,            0.012234,             0.00523,             0.92159,             0.86425,               0.995,             0.80548,            0.021374,           0.0044746,           0.0039366,            0.005149,            0.005149,            0.005149
                 149,             0.02698,            0.011545,            0.003807,             0.91088,             0.86485,               0.995,             0.80887,            0.024195,           0.0045505,           0.0038199,            0.005116,            0.005116,            0.005116
                 150,            0.028226,            0.011719,           0.0050296,             0.94097,             0.85734,             0.99417,             0.82167,             0.02068,           0.0044889,           0.0036336,            0.005083,            0.005083,            0.005083
                 151,            0.024988,            0.012827,           0.0050588,             0.96734,             0.86401,               0.995,             0.79989,             0.02049,            0.004302,           0.0038933,             0.00505,             0.00505,             0.00505
                 152,            0.026053,            0.010267,           0.0036261,              0.9332,             0.86286,               0.995,             0.76195,            0.020114,            0.004416,           0.0040911,            0.005017,            0.005017,            0.005017
                 153,            0.026184,            0.012138,           0.0052595,             0.95803,              0.8246,             0.98574,             0.78022,            0.020174,           0.0043836,           0.0046177,            0.004984,            0.004984,            0.004984
                 154,            0.025989,             0.01144,            0.004963,             0.94434,             0.86491,               0.995,             0.84478,            0.019177,           0.0041647,           0.0040761,            0.004951,            0.004951,            0.004951
                 155,            0.024428,            0.011554,           0.0046596,             0.97256,             0.85901,             0.98944,             0.82719,            0.018595,            0.004065,           0.0033762,            0.004918,            0.004918,            0.004918
                 156,            0.024017,            0.010687,            0.003832,              0.9658,             0.85594,             0.98574,             0.77023,            0.020532,           0.0041847,           0.0032676,            0.004885,            0.004885,            0.004885
                 157,            0.024768,            0.010615,           0.0058971,             0.95578,             0.85696,             0.98574,             0.77878,             0.01979,           0.0040631,           0.0033053,            0.004852,            0.004852,            0.004852
                 158,            0.025606,            0.010178,           0.0045221,             0.89709,             0.85596,             0.97615,             0.76692,            0.021215,           0.0041089,           0.0034182,            0.004819,            0.004819,            0.004819
